bitcoin (2009-08-30 - 2018-01-01),ccxt (2017-05-14 - 2018-01-01),go-ethereum (2013-12-26 - 2018-01-01),litecoin (2009-08-30 - 2018-01-01),lnd (2015-10-27 - 2018-01-01),mist (2015-06-22 - 2018-01-01),parity (2015-11-23 - 2018-01-01),solidity (2014-01-03 - 2018-01-01),status-react (2016-02-23 - 2018-01-01),web3.js (2014-09-30 - 2018-01-01),
1,1,3,1,1,4,5,3,7,2,
2,5,5,2,3,4,8,6,5,5,
2,14,7,2,5,1,11,5,8,2,
1,16,5,1,3,2,11,4,5,7,
1,21,11,1,3,2,14,1,3,14,
2,21,5,2,2,3,11,5,6,4,
0,37,8,0,4,2,11,3,6,6,
1,,2,1,2,3,17,2,6,6,
1,,5,1,1,9,15,2,7,4,
4,,14,4,2,11,16,9,7,5,
5,,11,5,3,14,18,12,15,4,
2,,12,2,4,11,21,16,12,5,
3,,15,3,4,7,20,11,11,2,
3,,19,3,4,7,19,15,11,2,
4,,14,4,7,6,20,13,9,2,
5,,19,5,8,6,24,15,7,11,
13,,13,13,9,5,23,17,38,1,
13,,9,13,8,6,23,12,14,1,
25,,11,25,6,6,26,13,16,3,
17,,13,17,4,6,29,15,19,3,
20,,12,20,6,3,32,10,24,1,
16,,6,16,10,4,25,5,25,3,
20,,9,20,11,3,28,4,,0,
16,,6,16,14,5,28,9,,5,
14,,6,14,12,8,27,9,,0,
9,,9,9,19,4,,8,,8,
10,,9,10,,5,,12,,4,
19,,4,19,,7,,7,,0,
15,,13,15,,6,,15,,6,
18,,10,18,,7,,10,,8,
17,,13,17,,,,14,,2,
17,,11,17,,,,16,,3,
12,,10,12,,,,12,,3,
16,,17,16,,,,14,,4,
15,,16,15,,,,16,,1,
14,,15,14,,,,8,,4,
14,,14,14,,,,14,,,
13,,16,13,,,,7,,,
23,,16,23,,,,10,,,
16,,15,16,,,,15,,,
16,,18,16,,,,18,,,
22,,17,22,,,,20,,,
18,,21,18,,,,20,,,
14,,30,14,,,,18,,,
19,,23,19,,,,17,,,
18,,22,18,,,,18,,,
23,,31,23,,,,14,,,
18,,34,18,,,,,,,
18,,,18,,,,,,,
48,,,48,,,,,,,
28,,,28,,,,,,,
26,,,26,,,,,,,
31,,,31,,,,,,,
34,,,34,,,,,,,
25,,,25,,,,,,,
33,,,33,,,,,,,
26,,,26,,,,,,,
34,,,34,,,,,,,
31,,,31,,,,,,,
21,,,21,,,,,,,
36,,,36,,,,,,,
27,,,27,,,,,,,
31,,,31,,,,,,,
26,,,26,,,,,,,
34,,,34,,,,,,,
26,,,26,,,,,,,
32,,,32,,,,,,,
39,,,39,,,,,,,
31,,,31,,,,,,,
30,,,30,,,,,,,
30,,,30,,,,,,,
44,,,44,,,,,,,
36,,,36,,,,,,,
32,,,32,,,,,,,
33,,,33,,,,,,,
20,,,20,,,,,,,
34,,,34,,,,,,,
41,,,41,,,,,,,
37,,,37,,,,,,,
39,,,39,,,,,,,
28,,,28,,,,,,,
29,,,28,,,,,,,
52,,,52,,,,,,,
36,,,36,,,,,,,
31,,,31,,,,,,,
32,,,28,,,,,,,
37,,,33,,,,,,,
37,,,22,,,,,,,
49,,,6,,,,,,,
29,,,26,,,,,,,
31,,,13,,,,,,,
31,,,0,,,,,,,
